Discoveries	Palatable Name	Pathway
3-phosphoglycerate	3-Phosphoglycerate	Central carbon metabolite
4-aminobutyrate	4-Aminobutyrate	Misc
adenosine	Adenosine	Nucleotide related
alanine	Alanine	Non-essential AA
asparagine	Asparagine	Non-essential AA
carnitine	Carnitine	AA related
CDP-choline	CDP-choline	Nucleotide related
CDP-ethanolamine	CDP-ethanolamine	Nucleotide related
citrate	Citrate	Central carbon metabolite
citrate-isocitrate	"Citrate, Isocitrate mix"	Central carbon metabolite
Creatine phosphate	Creatine phosphate	Misc
cystathionine	Cystathionine	AA related
cysteine	Cysteine	Non-essential AA
cytidine	Cytidine	Nucleotide related
2-dehydro-D-gluconate	Dehydrogluconate	Misc
dihydroxyacetone phosphate	Dihydroxyacetone-P	Central carbon metabolite
dimethylglycine	Dimethylglycine	AA related
fructose-6-phosphate	Fructose-6-P	Central carbon metabolite
Fuconate	Fuconate	Misc
D-Mannose/L-Sorbose-potential-2	Fuconate	Misc
fumarate	Fumarate	Central carbon metabolite
glucose-6-phosphate	Glucose-6-P	Central carbon metabolite
D-glucuronic acid-potential	Glucuronic acid	Misc
glutamate	Glutamate	Non-essential AA
glutamine	Glutamine	Non-essential AA
glutathione	Glutathione	Misc
glutathione disulfide	Glutathione disulfide	Misc
sn-glycerol-3-phosphate	Glycerol-3-P	Central carbon metabolite
Glycerophosphocholine	Glycerophosphocholine	Misc
glycine	Glycine	Non-essential AA
glycine betaine	Glycine betaine	AA related
Guanidoacetic acid	Guanidoacetic acid	Misc
guanine	Guanine	Nucleotide related
Hexoses	Glucose	Central carbon metabolite
D-Mannose/L-Sorbose-potential-1	Glucose	Central carbon metabolite
histidine	Histidine	Essential AA
IMP	IMP	Nucleotide related
indole	Indole	Misc
Kynurenine	Kynurenine	AA related
lactate	Lactate	Central carbon metabolite
leucine/isoleucine	Leucine & isoleucine	Essential AA
lysine	Lysine	Essential AA
malate	Malate	Central carbon metabolite
methionine	Methionine	Essential AA
methylnicotinamide	Methylnicotinamide	Misc
N-acetyl-L-alanine	N-Acetyl-alanine	AA related
N-acetyl-glucosamine-1-phosphate	N-Acetyl-glucosamine-P	Central carbon metabolite
N-acetyl-glutamate	N-Acetyl-glutamate	AA related
N-Acetyl-L-alanine	N-Acetyl-L-alanine	AA related
nicotinamide	Nicotinamide	Misc
ornithine	Ornithine	AA related
pantothenate	Pantothenate	Misc
phenylalanine	Phenylalanine	Essential AA
proline	Proline	Non-essential AA
D-sedoheptulose-1/7-phosphate	Sedoheptulose-P	Central carbon metabolite
serine	Serine	Non-essential AA
succinate	Succinate	Central carbon metabolite
taurine	Taurine	AA related
thymine	Thymine	Nucleotide related
trehalose/sucrose	Sucrose	Central carbon metabolite
tryptophan	Tryptophan	Essential AA
tyrosine	Tyrosine	Essential AA
UDP-D-glucuronate	UDP-glucuronate	Misc
Uric acid	Uric acid	Nucleotide related
valine	Valine	Essential AA
xanthine	Xanthine	Nucleotide related
xanthosine	Xanthosine	Nucleotide related
