Ion_Name	Instrument	Metabolite	M/Z	SRM (product ion)	Collision energy (SRM)	Charge	Ion	RT
xanthosine_Exactive	Exactive	xanthosine	283.0684082	x	x	-1	[M-H]-	7.7
xanthine_Exactive	Exactive	xanthine	151.0261494	x	x	-1	[M-H]-	1.2
valine_Exactive	Exactive	valine	116.0717026	x	x	-1	[M-H]-	1
uridine_Exactive	Exactive	uridine	243.0622602	x	x	-1	[M-H]-	1.7
uracil_Exactive	Exactive	uracil	111.0200014	x	x	-1	[M-H]-	1.2
tyrosine_Exactive	Exactive	tyrosine	180.0666173	x	x	-1	[M-H]-	2
tryptophan_Exactive	Exactive	tryptophan	203.0826017	x	x	-1	[M-H]-	7.5
trehalose/sucrose_Exactive	Exactive	trehalose/sucrose	341.1089357	x	x	-1	[M-H]-	1.2
thymine_Exactive	Exactive	thymine	125.0356515	x	x	-1	[M-H]-	2.6
taurine_Exactive	Exactive	taurine	124.0073878	x	x	-1	[M-H]-	0.8
sn-glycerol-3-phosphate_Exactive	Exactive	sn-glycerol-3-phosphate	NA	NA	NA	NA	NA	NA
shikimate-3-phosphate_Exactive	Exactive	shikimate-3-phosphate	253.0118784	x	x	-1	[M-H]-	13.4
serine_Exactive	Exactive	serine	104.0353171	x	x	-1	[M-H]-	1
pyruvate_Exactive	Exactive	pyruvate	87.00876803	x	x	-1	[M-H]-	8.4
proline_Exactive	Exactive	proline	114.0560526	x	x	-1	[M-H]-	1.1
phenylalanine_Exactive	Exactive	phenylalanine	164.0717026	x	x	-1	[M-H]-	3.8
pantothenate_Exactive	Exactive	pantothenate	218.1033967	x	x	-1	[M-H]-	11
methionine_Exactive	Exactive	methionine	148.0437733	x	x	-1	[M-H]-	1.5
malate_Exactive	Exactive	malate	133.0142474	x	x	-1	[M-H]-	12.7
leucine/isoleucine_Exactive	Exactive	leucine/isoleucine	130.0873527	x	x	-1	[M-H]-	1.9
lactate_Exactive	Exactive	lactate	89.0244181	x	x	-1	[M-H]-	7
inosine_Exactive	Exactive	inosine	267.0734936	x	x	-1	[M-H]-	3.5
indole_Exactive	Exactive	indole	116.0505732	x	x	-1	[M-H]-	7.5
hypoxanthine_Exactive	Exactive	hypoxanthine	135.0312348	x	x	-1	[M-H]-	1.2
hydroxyproline_Exactive	Exactive	hydroxyproline	130.0509672	x	x	-1	[M-H]-	1
homocysteine_Exactive	Exactive	homocysteine	134.0281233	x	x	-1	[M-H]-	1
histidine_Exactive	Exactive	histidine	154.0622006	x	x	-1	[M-H]-	1
guanosine_Exactive	Exactive	guanosine	282.0843926	x	x	-1	[M-H]-	4
guanine_Exactive	Exactive	guanine	150.0421338	x	x	-1	[M-H]-	3.4
glycerate_Exactive	Exactive	glycerate	105.0193327	x	x	-1	[M-H]-	6.7
glutathione disulfide_Exactive	Exactive	glutathione disulfide	611.1446861	x	x	-1	[M-H]-	12.9
glutathione_Exactive	Exactive	glutathione	306.0765301	x	x	-1	[M-H]-	7.7
glutamine_Exactive	Exactive	glutamine	145.0618662	x	x	-1	[M-H]-	1.1
glutamate_Exactive	Exactive	glutamate	146.0458818	x	x	-1	[M-H]-	4.2
fumarate_Exactive	Exactive	fumarate	115.0036827	x	x	-1	[M-H]-	13.5
dihydroxyacetone phosphate_Exactive	Exactive	dihydroxyacetone phosphate	168.990749	x	x	-1	[M-H]-	9
dTMP_Exactive	Exactive	dTMP	NA	NA	NA	NA	NA	NA
dGTP_Exactive	Exactive	dGTP	NA	NA	NA	NA	NA	NA
dGDP_Exactive	Exactive	dGDP	426.0221398	x	x	-1	[M-H]-	14
cytidine_Exactive_1	Exactive	cytidine	NA	NA	NA	NA	NA	NA
cytidine_act_Exactive_2	Exactive	cytidine_act	NA	NA	NA	NA	NA	NA
cysteine_Exactive	Exactive	cysteine	120.0124732	x	x	-1	[M-H]-	1.1
cystathionine_Exactive	Exactive	cystathionine	221.0601517	x	x	-1	[M-H]-	1
citrulline_Exactive	Exactive	citrulline	174.0884153	x	x	-1	[M-H]-	0.9
cholesteryl sulfate_Exactive	Exactive	cholesteryl sulfate	465.3044048	x	x	-1	[M-H]-	17.3
aspartate_Exactive	Exactive	aspartate	132.0302318	x	x	-1	[M-H]-	4.1
asparagine_Exactive	Exactive	asparagine	131.0462162	x	x	-1	[M-H]-	1
arginine_Exactive	Exactive	arginine	173.1043998	x	x	-1	[M-H]-	0.6
allantoin_Exactive	Exactive	allantoin	157.0367141	x	x	-1	[M-H]-	0.8
adenosine_Exactive	Exactive	adenosine	266.089478	x	x	-1	[M-H]-	6.7
acetyl-CoA_Exactive	Exactive	acetyl-CoA	NA	NA	NA	NA	NA	NA
a-ketoglutarate_Exactive	Exactive	a-ketoglutarate	145.0142474	x	x	-1	[M-H]-	13.2
Uric acid_Exactive	Exactive	Uric acid	167.021064	x	x	-1	[M-H]-	6.2
UTP_Exactive	Exactive	UTP	482.961253	x	x	-1	[M-H]-	14.8
UMP_Exactive	Exactive	UMP	323.0285911	x	x	-1	[M-H]-	10
UDP-N-acetyl-glucosamine_Exactive	Exactive	UDP-N-acetyl-glucosamine	606.0742947	x	x	-1	[M-H]-	13.6
UDP-D-glucuronate_Exactive	Exactive	UDP-D-glucuronate	579.0270101	x	x	-1	[M-H]-	14.7
UDP-D-glucose_Exactive	Exactive	UDP-D-glucose	565.0477456	x	x	-1	[M-H]-	13.4
UDP_Exactive	Exactive	UDP	402.9949221	x	x	-1	[M-H]-	13.8
S-adenosyl-L-homocysteine_Exactive	Exactive	S-adenosyl-L-homocysteine	383.1143126	x	x	-1	[M-H]-	7.1
NADP+_Exactive	Exactive	NADP+	742.0681777	x	x	-1	[M-H]-	13.9
NADH_Exactive	Exactive	NADH	664.1174968	x	x	-1	[M-H]-	14.1
NAD+_Exactive	Exactive	NAD+	662.1018468	x	x	-1	[M-H]-	8.6
N-acetyl-glutamate_Exactive	Exactive	N-acetyl-glutamate	188.0564465	x	x	-1	[M-H]-	13
N-acetyl-L-ornithine_Exactive	Exactive	N-acetyl-L-ornithine	173.0931664	x	x	-1	[M-H]-	1
N-Acetyl-L-alanine_Exactive	Exactive	N-Acetyl-L-alanine	130.0509672	x	x	-1	[M-H]-	8
Methylcysteine_Exactive	Exactive	Methylcysteine	134.0281233	x	x	-1	[M-H]-	1
Kynurenine_Exactive	Exactive	Kynurenine	207.0775163	x	x	-1	[M-H]-	3.6
IMP_Exactive	Exactive	IMP	347.0398245	x	x	-1	[M-H]-	10.5
Guanidoacetic acid_Exactive	Exactive	Guanidoacetic acid	116.0465505	x	x	-1	[M-H]-	1.9
GMP_Exactive	Exactive	GMP	362.0507235	x	x	-1	[M-H]-	10.5
GDP_Exactive	Exactive	GDP	442.0170545	x	x	-1	[M-H]-	13.9
FAD_Exactive	Exactive	FAD	784.1498596	x	x	-1	[M-H]-	15
D-sedoheptulose-1/7-phosphate_Exactive	Exactive	D-sedoheptulose-1/7-phosphate	NA	NA	NA	NA	NA	NA
D-gluconate_Exactive	Exactive	D-gluconate	195.0510268	x	x	-1	[M-H]-	5
CMP_Exactive	Exactive	CMP	322.0445755	x	x	-1	[M-H]-	8.5
CDP-ethanolamine_Exactive	Exactive	CDP-ethanolamine	445.0531056	x	x	-1	[M-H]-	6.4
CDP-choline_Exactive	Exactive	CDP-choline	488.1078809	x	x	-1	[M-H]-	6.3
CDP_Exactive	Exactive	CDP	NA	NA	NA	NA	NA	NA
Ascorbic acid_Exactive	Exactive	Ascorbic acid	175.0248121	x	x	-1	[M-H]-	6.6
Aminoadipic acid_Exactive	Exactive	Aminoadipic acid	160.0615319	x	x	-1	[M-H]-	3.2
Acetyllysine_Exactive	Exactive	Acetyllysine	187.1088165	x	x	-1	[M-H]-	1.1
ATP_Exactive	Exactive	ATP	NA	NA	NA	NA	NA	NA
ADP-D-glucose_Exactive	Exactive	ADP-D-glucose	588.0749633	x	x	-1	[M-H]-	14.1
ADP_Exactive	Exactive	ADP	426.0221398	x	x	-1	[M-H]-	13.8
6-phospho-D-gluconate_Exactive	Exactive	6-phospho-D-gluconate	275.0173578	x	x	-1	[M-H]-	13.4
4-aminobutyrate_Exactive	Exactive	4-aminobutyrate	102.0560526	x	x	-1	[M-H]-	4
3-phosphoglycerate_Exactive	Exactive	3-phosphoglycerate	184.9856637	x	x	-1	[M-H]-	13.6
2-dehydro-D-gluconate_Exactive	Exactive	2-dehydro-D-gluconate	193.0353768	x	x	-1	[M-H]-	5
D-Mannose/L-Sorbose-potential-1_Exactive_1	Exactive	D-Mannose/L-Sorbose-potential-1	NA	NA	NA	NA	NA	NA
D-glucuronic acid-potential_Exactive	Exactive	D-glucuronic acid-potential	193.035377	x	x	-1	[M-H]-	5.2
choline_Ultra	Ultra	choline	104	60	19	1	[M+H]+	5.2
4-aminobutyrate_Ultra	Ultra	4-aminobutyrate	NA	NA	NA	NA	NA	NA
dimethylglycine_Ultra	Ultra	dimethylglycine	104	58	19	1	[M+H]+	13
serine_Ultra	Ultra	serine	106	60	13	1	[M+H]+	14
proline_Ultra	Ultra	proline	116.1	70.1	11	1	[M+H]+	12.7
glycine betaine_Ultra	Ultra	glycine betaine	118	58	34	1	[M+H]+	12.3
valine_Ultra	Ultra	valine	118.1	55.2	11	1	[M+H]+	12.4
threonine_Ultra	Ultra	threonine	120	74	11	1	[M+H]+	13.4
nicotinamide_Ultra	Ultra	nicotinamide	123.1	80	20	1	[M+H]+	7
Creatine_Ultra	Ultra	Creatine	132	90	12	1	[M+H]+	13.2
hydroxyproline_Ultra	Ultra	hydroxyproline	132	68.2	17	1	[M+H]+	13.2
ornithine_Ultra	Ultra	ornithine	133	70	12	1	[M+H]+	12
asparagine_Ultra	Ultra	asparagine	133	74	17	1	[M+H]+	14
methylnicotinamide_Ultra	Ultra	methylnicotinamide	137	94	18	1	[M+H]+	6
lysine_Ultra	Ultra	lysine	147	67	30	1	[M+H]+	12
glutamine_Ultra	Ultra	glutamine	147.1	84.1	15	1	[M+H]+	13.5
glutamate_Ultra	Ultra	glutamate	148.1	84.1	11	1	[M+H]+	12.7
methionine_Ultra	Ultra	methionine	150.1	133	10	1	[M+H]+	11.9
guanine_Ultra	Ultra	guanine	152	35	16	1	[M+H]+	12.2
histidine_Ultra	Ultra	histidine	156.1	110.1	12	1	[M+H]+	13
2-Aminooctanoic acid_Ultra	Ultra	2-Aminooctanoic acid	160	55.3	19	1	[M+H]+	14
carnitine_Ultra	Ultra	carnitine	162.1	103	18	1	[M+H]+	13.2
phenylalanine_Ultra	Ultra	phenylalanine	166.1	103	28	1	[M+H]+	12
arginine_Ultra	Ultra	arginine	175.1	60.2	14	1	[M+H]+	12
citrulline_Ultra	Ultra	citrulline	176.1	159	12	1	[M+H]+	13.6
tyrosine_Ultra	Ultra	tyrosine	182.1	136.1	14	1	[M+H]+	13
Acetylcarnitine DL_Ultra	Ultra	Acetylcarnitine DL	204	85	17	1	[M+H]+	13
tryptophan_Ultra	Ultra	tryptophan	205	146	16	1	[M+H]+	11.8
Kynurenine_Ultra	Ultra	Kynurenine	209	146	23	1	[M+H]+	12
cystathionine_Ultra	Ultra	cystathionine	223	134	11	1	[M+H]+	15
cytidine_Ultra	Ultra	cytidine	244.1	112	12	1	[M+H]+	11.8
Glycerophosphocholine_Ultra	Ultra	Glycerophosphocholine	258.1	104	14	1	[M+H]+	13.3
1-Methyladenosine_Ultra	Ultra	1-Methyladenosine	281.8	150	25	1	[M+H]+	6
guanosine_Ultra	Ultra	guanosine	284.1	135	33	1	[M+H]+	12.2
S-adenosyl-L-homocysteine_Ultra	Ultra	S-adenosyl-L-homocysteine	385.1	136	19	1	[M+H]+	13.4
S-adenosyl-L-methionine_Ultra	Ultra	S-adenosyl-L-methionine	399.1	250	13	1	[M+H]+	12
